Country,Year,Population,Fertility_Rate,Mortality,Net_Migration
United Kingdom,21,49931.042,379.95,589.015,151.663
United Kingdom,21,50310.992,71.647,631.196,-93.691
United Kingdom,21,50382.639,227.191,572.859,7.995
United Kingdom,21,50609.83,234.413,575.6,15.385
United Kingdom,21,50844.243,228.013,576.387,13.4
United Kingdom,21,51072.256,208.983,593.831,9.403
United Kingdom,21,51281.239,238.441,595.914,16.2
United Kingdom,21,51519.68,272.463,589.236,17.875
United Kingdom,21,51792.143,287.002,601.745,25.213
United Kingdom,21,52079.145,294.652,603.536,19.006
United Kingdom,21,52373.797,329.503,601.038,19.953
United Kingdom,21,52703.3,363.297,628.633,52.295
United Kingdom,21,53066.597,412.467,632.8,76.443
United Kingdom,21,53479.064,347.744,650.069,8.271
United Kingdom,21,53826.808,364.653,610.906,-23.885
United Kingdom,21,54191.461,335.119,628.532,-24.955
United Kingdom,21,54526.58,299.528,645.677,-27.935
United Kingdom,21,54826.108,295.106,619.257,-39.659
United Kingdom,21,55121.214,238.863,658.626,-38.852
United Kingdom,21,55360.077,192.259,662.072,-60.655
United Kingdom,21,55552.336,222.93,658.14,-15.254
United Kingdom,21,55775.266,230.212,647.871,1.175
United Kingdom,21,56005.478,147.522,676.864,-1.406
United Kingdom,21,56153,71.583,672.363,-33.84
United Kingdom,21,56224.583,-0.067,670.237,-65.71
United Kingdom,21,56224.516,-8.747,665.069,-40.241
United Kingdom,21,56215.769,-29.262,683.222,-19.135
United Kingdom,21,56186.507,-21.355,657.615,-21.636
United Kingdom,21,56165.152,20.809,669.703,3.783
United Kingdom,21,56185.961,65.604,677.778,11.255
United Kingdom,21,56251.565,61.076,663.701,-25.187
United Kingdom,21,56312.641,-16.099,660.251,-83.876
United Kingdom,21,56296.542,-7.575,665.358,-61.152
United Kingdom,21,56288.967,86.181,661.358,27.063
United Kingdom,21,56375.148,152.331,646.791,71.107
United Kingdom,21,56527.479,157.871,672.405,83.164
United Kingdom,21,56685.35,133.145,662.628,41.836
United Kingdom,21,56818.495,135.057,646.22,8.266
United Kingdom,21,56953.552,145.989,650.511,13.952
United Kingdom,21,57099.541,165.19,664.419,49.586
United Kingdom,21,57264.731,206.262,648.416,57.132
United Kingdom,21,57470.993,168.398,653.316,27.601
United Kingdom,21,57639.391,159.761,641.099,17.846
United Kingdom,21,57799.152,123.77,665.859,27.403
United Kingdom,21,57922.922,160.562,634.717,45.339
United Kingdom,21,58083.484,142.301,652.927,61.385
United Kingdom,21,58225.785,145.56,643.197,54.964
United Kingdom,21,58371.345,151.488,636.917,59.723
United Kingdom,21,58522.833,207.973,636.813,125.541
United Kingdom,21,58730.806,215.702,640.79,152.653
United Kingdom,21,58946.508,221.66,616.828,153.917
United Kingdom,21,59168.168,239.844,610.333,175.133
United Kingdom,21,59408.012,265.502,614.955,203.577
United Kingdom,21,59673.514,293.742,619.822,211.846
United Kingdom,21,59967.256,405.422,591.815,276.077
United Kingdom,21,60372.678,446.86,590.62,308.279
United Kingdom,21,60819.538,463.113,580.231,288.923
United Kingdom,21,61282.651,506.407,581.592,309.385
United Kingdom,21,61789.058,476.497,586.511,263.39
United Kingdom,21,62265.555,481.341,566.115,249.639
United Kingdom,21,62746.896,519.174,567.68,274.811
United Kingdom,21,63266.07,486.431,557.068,228.773
United Kingdom,21,63752.501,415.966,573.444,172.088
United Kingdom,21,64168.467,441.842,580.798,237.272
United Kingdom,21,64610.309,511.215,574.464,306.091
United Kingdom,21,65121.524,521.172,605.88,347.839
United Kingdom,21,65642.696,501.324,599.376,324.649
United Kingdom,21,66144.02,420.902,608.561,272.311
United Kingdom,21,66564.922,375.106,617.718,259.744
United Kingdom,21,66940.028,341.86,605.258,232.727
United Kingdom,21,67281.888,139.947,691.537,144.221
United Kingdom,21,67421.835,493.914,662.086,462.967
United Kingdom,21,67915.749,527.133,648.522,487.029
United Kingdom,21,68442.882,480.161,653.747,445.523
Spain,25,28015.563,122.971,310.446,-129.562
Spain,25,28138.534,152.653,328.879,-85.453
Spain,25,28291.187,229.709,276.716,-84.841
Spain,25,28520.896,223.602,278.075,-86.224
Spain,25,28744.498,226.661,263.55,-88.058
Spain,25,28971.159,237.235,274.259,-86.836
Spain,25,29208.394,230.551,289.17,-90.146
