,Country,Climate Vulnerability Score,Year_Month,Aviation Emissions (Tons),Year,Month,Population(Thousands),GDP (current US$),CO2 Emissions (Metric Tons)
0,Australia,0.306,2019-Jan,1493138.36,2019,1,25482.714,1.39E+12,15.59904536
1,Canada,0.281,2019-Jan,1916450.359,2019,1,37782.935,1.74E+12,15.04583849
2,France,0.3,2019-Jan,1793704.32,2019,1,65729.459,2.73E+12,4.460164948
3,Germany,0.299,2019-Jan,2266376.401,2019,1,83559.186,3.89E+12,7.927187624
4,Japan,0.36,2019-Jan,2011498.772,2019,1,126699.424,5.12E+12,8.478400575
5,Netherlands,0.355,2019-Jan,972835.9861,2019,1,17537.507,9.10E+11,8.41396928
6,Spain,0.292,2019-Jan,971129.6311,2019,1,47435.119,1.39E+12,5.131798801
7,United Kingdom,0.285,2019-Jan,2818371.061,2019,1,67110.958,2.85E+12,5.175842473
8,Bangladesh,0.554,2019-Jan,58767.67534,2019,1,164913.055,3.51E+11,0.559733656
9,Haiti,0.51,2019-Jan,2190.411637,2019,1,11105.163,15016090930,0.297241022
10,Madagascar,0.559,2019-Jan,13112.64234,2019,1,28219.554,14104664679,0.142653575
11,Maldives,0.564,2019-Jan,4257.931117,2019,1,487.731,5726094799,3.963267183
12,Mozambique,0.479,2019-Jan,500.7780758,2019,1,29884.38,15512758965,0.248639659
13,Nepal,0.494,2019-Jan,15914.57588,2019,1,28414.064,34186180699,0.480724943
14,Solomon Islands,0.634,2019-Jan,1400.489239,2019,1,728.147,1619155017,0.451560238
15,United Arab Emirates,0.382,2019-Jan,4165084.585,2019,1,9377.847,4.18E+11,20.15334483
16,Vanuatu,0.56,2019-Jan,3250.502522,2019,1,291.985,936526267.6,0.548284517
17,Australia,0.306,2019-Feb,1293562.479,2019,2,25497.67796,1.40E+12,15.56475751
18,Canada,0.281,2019-Feb,1705369.788,2019,2,37804.56675,1.75E+12,14.98524923
19,France,0.3,2019-Feb,1513250.269,2019,2,65740.87463,2.73E+12,4.439061511
20,Germany,0.299,2019-Feb,2227999.969,2019,2,83570.16602,3.89E+12,7.899189016
21,Japan,0.36,2019-Feb,1828152.598,2019,2,126663.9689,5.10E+12,8.459779546
22,Netherlands,0.355,2019-Feb,888253.3638,2019,2,17545.15104,9.12E+11,8.374701955
23,Spain,0.292,2019-Feb,860992.2233,2019,2,47443.31198,1.39E+12,5.096290291
24,United Kingdom,0.285,2019-Feb,2701045.31,2019,2,67133.21544,2.86E+12,5.15189663
25,Bangladesh,0.554,2019-Feb,53361.56917,2019,2,165006.2184,3.54E+11,0.557688402
26,Haiti,0.51,2019-Feb,1679.937869,2019,2,11113.4639,15125204700,0.296681606
27,Madagascar,0.559,2019-Feb,9264.749701,2019,2,28265.75623,14129619800,0.140762574
28,Maldives,0.564,2019-Feb,4978.426247,2019,2,488.4888125,5735356132,3.915897105
29,Mozambique,0.479,2019-Feb,550.560804,2019,2,29942.12721,15573052226,0.247561654
30,Nepal,0.494,2019-Feb,13295.91492,2019,2,28441.17592,34331946509,0.481918331
31,Solomon Islands,0.634,2019-Feb,1531.249167,2019,2,729.2494792,1618055135,0.446206293
32,United Arab Emirates,0.382,2019-Feb,3688765.592,2019,2,9395.851979,4.20E+11,20.15746678
33,Vanuatu,0.56,2019-Feb,2371.305527,2019,2,292.4237708,938311539.1,0.541654952
34,Australia,0.306,2019-Mar,1282164.435,2019,3,25512.64192,1.41E+12,15.53046966
35,Canada,0.281,2019-Mar,1770286.203,2019,3,37826.1985,1.76E+12,14.92465998
36,France,0.3,2019-Mar,1534910.211,2019,3,65752.29025,2.73E+12,4.417958074
37,Germany,0.299,2019-Mar,2282480.544,2019,3,83581.14604,3.90E+12,7.871190408
38,Japan,0.36,2019-Mar,1873823.61,2019,3,126628.5138,5.08E+12,8.441158516
39,Netherlands,0.355,2019-Mar,924242.0462,2019,3,17552.79508,9.14E+11,8.33543463
40,Spain,0.292,2019-Mar,902043.3949,2019,3,47451.50496,1.40E+12,5.060781782
41,United Kingdom,0.285,2019-Mar,2803888.604,2019,3,67155.47287,2.86E+12,5.127950787
42,Bangladesh,0.554,2019-Mar,58852.62129,2019,3,165099.3818,3.56E+11,0.555643148
43,Haiti,0.51,2019-Mar,1003.79343,2019,3,11121.76479,15234318471,0.296122189
44,Madagascar,0.559,2019-Mar,8513.099375,2019,3,28311.95846,14154574921,0.138871572
45,Maldives,0.564,2019-Mar,4572.376918,2019,3,489.246625,5744617464,3.868527026
46,Mozambique,0.479,2019-Mar,747.0821958,2019,3,29999.87442,15633345487,0.24648365
47,Nepal,0.494,2019-Mar,14633.75306,2019,3,28468.28783,34477712320,0.483111718
48,Solomon Islands,0.634,2019-Mar,1154.069755,2019,3,730.3519583,1616955254,0.440852348
49,United Arab Emirates,0.382,2019-Mar,3787583.939,2019,3,9413.856958,4.22E+11,20.16158874
50,Vanuatu,0.56,2019-Mar,2301.465349,2019,3,292.8625417,940096810.5,0.535025388
51,Australia,0.306,2019-Apr,1413224.401,2019,4,25527.60588,1.41E+12,15.4961818
52,Canada,0.281,2019-Apr,1810037.412,2019,4,37847.83025,1.77E+12,14.86407072
53,France,0.3,2019-Apr,1696106.729,2019,4,65763.70588,2.73E+12,4.396854636
54,Germany,0.299,2019-Apr,2433902.947,2019,4,83592.12606,3.90E+12,7.843191799
55,Japan,0.36,2019-Apr,2071591.001,2019,4,126593.0586,5.06E+12,8.422537487
56,Netherlands,0.355,2019-Apr,1145587.242,2019,4,17560.43913,9.16E+11,8.296167305
57,Spain,0.292,2019-Apr,1083543.042,2019,4,47459.69794,1.40E+12,5.025273272
58,United Kingdom,0.285,2019-Apr,3004677.618,2019,4,67177.73031,2.87E+12,5.104004945
59,Bangladesh,0.554,2019-Apr,64657.45951,2019,4,165192.5451,3.58E+11,0.553597894
60,Haiti,0.51,2019-Apr,925.955518,2019,4,11130.06569,15343432241,0.295562773
61,Madagascar,0.559,2019-Apr,13420.73519,2019,4,28358.16069,14179530042,0.136980571
62,Maldives,0.564,2019-Apr,4256.924702,2019,4,490.0044375,5753878796,3.821156947
63,Mozambique,0.479,2019-Apr,1536.98488,2019,4,30057.62163,15693638748,0.245405645
64,Nepal,0.494,2019-Apr,16564.7249,2019,4,28495.39975,34623478130,0.484305106
65,Solomon Islands,0.634,2019-Apr,1376.871809,2019,4,731.4544375,1615855372,0.435498402
66,United Arab Emirates,0.382,2019-Apr,3792541.954,2019,4,9431.861938,4.24E+11,20.16571069
67,Vanuatu,0.56,2019-Apr,3053.03297,2019,4,293.3013125,941882082,0.528395823
68,Australia,0.306,2019-May,1384128.007,2019,5,25542.56983,1.42E+12,15.46189395
69,Canada,0.281,2019-May,1858056.086,2019,5,37869.462,1.78E+12,14.80348147
70,France,0.3,2019-May,1698166.805,2019,5,65775.1215,2.73E+12,4.375751199
71,Germany,0.299,2019-May,2578139.568,2019,5,83603.10608,3.91E+12,7.815193191
72,Japan,0.36,2019-May,2136235.807,2019,5,126557.6035,5.05E+12,8.403916457
73,Netherlands,0.355,2019-May,1326021.171,2019,5,17568.08317,9.18E+11,8.25689998
74,Spain,0.292,2019-May,1153286.131,2019,5,47467.89092,1.40E+12,4.989764763
75,United Kingdom,0.285,2019-May,3322640.314,2019,5,67199.98775,2.87E+12,5.080059102
76,Bangladesh,0.554,2019-May,66082.53467,2019,5,165285.7085,3.60E+11,0.55155264
77,Haiti,0.51,2019-May,875.8248541,2019,5,11138.36658,15452546012,0.295003356
78,Madagascar,0.559,2019-May,13931.68751,2019,5,28404.36292,14204485164,0.135089569
79,Maldives,0.564,2019-May,4920.9336,2019,5,490.76225,5763140128,3.773786869
80,Mozambique,0.479,2019-May,1437.268873,2019,5,30115.36883,15753932009,0.244327641
81,Nepal,0.494,2019-May,18642.80314,2019,5,28522.51167,34769243941,0.485498494
82,Solomon Islands,0.634,2019-May,1324.623114,2019,5,732.5569167,1614755490,0.430144457
83,United Arab Emirates,0.382,2019-May,3600901.715,2019,5,9449.866917,4.25E+11,20.16983264
84,Vanuatu,0.56,2019-May,2938.37039,2019,5,293.7400833,943667353.4,0.521766259
85,Australia,0.306,2019-Jun,1354708.524,2019,6,25557.53379,1.43E+12,15.4276061
86,Canada,0.281,2019-Jun,1989887.107,2019,6,37891.09375,1.79E+12,14.74289221
87,France,0.3,2019-Jun,1751594.569,2019,6,65786.53713,2.73E+12,4.354647762
88,Germany,0.299,2019-Jun,2538858.488,2019,6,83614.0861,3.91E+12,7.787194583
89,Japan,0.36,2019-Jun,2091803.727,2019,6,126522.1484,5.03E+12,8.385295428
90,Netherlands,0.355,2019-Jun,1293799.269,2019,6,17575.72721,9.21E+11,8.217632655
